,Open,High,Low,Close,Volume
2010-07-21,9.25,9.5168,9.0636,9.0875,11596788
2010-07-22,9.1075,9.2857,9.1075,9.2429,6288884
2010-07-23,9.2482,9.3193,9.1529,9.2832,5243952
2010-07-26,9.2871,9.3129,9.2039,9.25,4145680
2010-07-27,9.2718,9.4571,9.2104,9.4321,5703488
2010-07-28,9.4489,9.4996,9.2768,9.2961,5091492
2010-07-29,9.3446,9.3804,9.1464,9.2036,6197128
2010-07-30,9.1982,9.275,9.1036,9.1786,4419352
2010-08-02,9.2339,9.3782,9.1875,9.3532,4204312
2010-08-03,9.3561,9.4021,9.265,9.3468,4111184
2010-08-04,9.3214,9.4386,9.2968,9.3911,4119976
2010-08-05,9.4107,9.4286,9.3054,9.3393,2835364
2010-08-06,9.3479,9.3529,9.2011,9.2821,4320176
2010-08-09,9.2964,9.3625,9.2575,9.3446,2968812
2010-08-10,9.3161,9.3161,9.1982,9.2589,4432568
2010-08-11,9.1982,9.1982,8.8071,8.8393,6060068
2010-08-12,8.8161,9.0393,8.79,9.0225,5246864
2010-08-13,8.9975,9.0061,8.8786,8.8857,3468528
2010-08-16,8.8964,8.9289,8.8079,8.85,3129420
2010-08-17,8.9261,9.0939,8.8911,9.0068,4136664
2010-08-18,8.9964,9.0954,8.985,9.0214,3328304
2010-08-19,9.065,9.0857,8.8814,8.9236,4201288
2010-08-20,8.8929,9.0686,8.8418,8.9279,3713136
2010-08-23,8.9446,9.0,8.7589,8.7639,4059580
2010-08-24,8.75,8.7739,8.5196,8.5661,5860232
2010-08-25,8.6171,8.7139,8.4714,8.7036,5844216
2010-08-26,8.7096,8.7768,8.5357,8.5732,4569600
2010-08-27,8.6232,8.6729,8.4129,8.6564,5380592
2010-08-30,8.65,8.7768,8.5914,8.675,3761044
2010-08-31,8.6786,8.7343,8.5839,8.7264,4086264
2010-09-01,8.7679,8.9807,8.6821,8.95,6849192
2010-09-02,8.9729,9.0246,8.8775,9.0057,4060448
2010-09-03,9.0079,9.2489,8.9554,9.23,5106332
2010-09-07,9.1782,9.2689,9.1268,9.2193,3361232
2010-09-08,9.1968,9.4425,9.1679,9.4043,5142564
2010-09-09,9.3757,9.5186,9.375,9.3789,4280696
2010-09-10,9.4375,9.4464,9.3357,9.4043,3791144
2010-09-13,9.4214,9.5814,9.4214,9.5464,3769108
2010-09-14,9.5021,9.6132,9.4829,9.5864,3990280
2010-09-15,9.5893,9.6871,9.5582,9.6864,4113788
2010-09-16,9.6536,9.9443,9.625,9.9214,6394360
2010-09-17,9.9454,9.9554,9.7743,9.8179,6180916
2010-09-20,9.8571,10.135,9.8482,10.1157,6429976
2010-09-21,10.1154,10.2625,10.0793,10.1161,6502356
2010-09-22,10.125,10.2875,10.0754,10.285,5631388
2010-09-23,10.2411,10.4557,10.2143,10.3225,7668500
2010-09-24,10.3557,10.4832,10.3554,10.4536,6354516
2010-09-27,10.4679,10.5346,10.3714,10.3946,4710748
2010-09-28,10.4196,10.4393,9.8214,10.2607,10115224
2010-09-29,10.2682,10.3504,10.2143,10.2407,4600764
2010-09-30,10.2607,10.3571,10.0446,10.1536,6566056
2010-10-01,10.1964,10.235,10.0482,10.0936,4370184
2010-10-04,10.0396,10.1036,9.9204,9.9732,4239228
