,Open,High,Low,Close,Volume
2019-07-02 10:00:00,48.05,48.05,48.05,48.05,3
2019-07-02 10:15:00,48.05,48.05,48.05,48.05,0
2019-07-02 10:30:00,48.04,48.07,48.03,48.07,3
2019-07-02 10:45:00,48.07,48.07,48.07,48.07,0
2019-07-02 11:00:00,48.07,48.07,48.07,48.07,0
2019-07-02 11:15:00,48.05,48.05,48.05,48.05,4
2019-07-02 11:30:00,48.05,48.05,48.05,48.05,0
2019-07-02 11:45:00,48.02,48.02,48.02,48.02,1
2019-07-02 12:00:00,48.07,48.07,48.07,48.07,1
2019-07-02 12:15:00,48.07,48.07,48.07,48.07,0
2019-07-02 12:30:00,48.07,48.07,48.07,48.07,0
2019-07-02 12:45:00,48.07,48.07,48.07,48.07,0
2019-07-02 13:00:00,47.98,48.05,47.93,48.05,18
2019-07-02 13:15:00,48.05,48.05,48.05,48.05,0
2019-07-02 13:30:00,48.05,48.05,48.05,48.05,0
2019-07-02 13:45:00,48.05,48.05,48.05,48.05,0
2019-07-02 14:00:00,47.72,48.1,47.72,48.09,31
2019-07-02 14:15:00,48.11,48.11,48.01,48.11,21
2019-07-02 14:30:00,48.08,48.08,48.08,48.08,1
2019-07-02 14:45:00,48.08,48.08,48.08,48.08,0
2019-07-02 15:00:00,48.04,48.04,48.0,48.0,18
2019-07-02 15:15:00,48.0,48.0,47.92,47.97,14
2019-07-02 15:30:00,47.91,48.04,47.69,47.76,9858
2019-07-02 15:45:00,47.77,48.0,47.77,47.95,4909
2019-07-02 16:00:00,47.94,48.03,47.79,47.8,6092
2019-07-02 16:15:00,47.8,48.09,47.75,48.08,6370
2019-07-02 16:30:00,48.08,48.22,48.08,48.14,4982
2019-07-02 16:45:00,48.14,48.21,48.1,48.2,3729
2019-07-02 17:00:00,48.19,48.21,48.13,48.17,7148
2019-07-02 17:15:00,48.17,48.19,48.09,48.09,3356
2019-07-02 17:30:00,48.09,48.14,48.01,48.09,4411
2019-07-02 17:45:00,48.08,48.08,47.97,47.98,2803
2019-07-02 18:00:00,47.98,48.02,47.94,47.99,4684
2019-07-02 18:15:00,47.99,48.03,47.86,47.9,4191
2019-07-02 18:30:00,47.9,47.92,47.76,47.78,4428
2019-07-02 18:45:00,47.78,47.8,47.69,47.76,3959
2019-07-02 19:00:00,47.76,47.82,47.72,47.77,3139
2019-07-02 19:15:00,47.78,47.88,47.72,47.87,4501
2019-07-02 19:30:00,47.87,47.94,47.83,47.92,3238
2019-07-02 19:45:00,47.91,47.96,47.88,47.91,2546
2019-07-02 20:00:00,47.92,47.97,47.9,47.94,1895
2019-07-02 20:15:00,47.95,47.98,47.87,47.94,2495
2019-07-02 20:30:00,47.94,48.02,47.93,47.99,2682
