,Open,High,Low,Close,Volume
2019-05-14 10:00:00,281.77,282.0,281.44,281.45,26
2019-05-14 10:15:00,281.6,281.68,281.55,281.59,56
2019-05-14 10:30:00,281.53,281.63,281.44,281.63,21
2019-05-14 10:45:00,281.63,281.88,281.63,281.88,129
2019-05-14 11:00:00,281.85,281.85,281.75,281.8,6
2019-05-14 11:15:00,281.9,282.05,281.9,282.05,15
2019-05-14 11:30:00,282.1,282.37,282.08,282.35,47
2019-05-14 11:45:00,282.35,282.35,282.16,282.29,69
2019-05-14 12:00:00,282.29,282.53,282.11,282.53,52
2019-05-14 12:15:00,282.54,282.55,282.41,282.47,364
2019-05-14 12:30:00,282.44,282.5,282.28,282.5,540
2019-05-14 12:45:00,282.6,282.82,282.2,282.34,494
2019-05-14 13:00:00,282.28,282.46,282.2,282.46,2058
2019-05-14 13:15:00,282.47,282.85,282.44,282.62,1211
2019-05-14 13:30:00,282.66,282.66,282.46,282.57,1580
2019-05-14 13:45:00,282.55,282.6,282.41,282.56,939
2019-05-14 14:00:00,282.29,282.84,281.68,282.69,1396
2019-05-14 14:15:00,282.67,282.68,282.25,282.38,1442
2019-05-14 14:30:00,282.36,282.36,281.87,282.15,3210
2019-05-14 14:45:00,282.13,282.34,281.97,282.27,1848
2019-05-14 15:00:00,282.28,282.38,281.83,281.86,1793
2019-05-14 15:15:00,281.86,282.06,280.86,282.02,2911
2019-05-14 15:30:00,282.02,282.89,281.85,282.86,36046
2019-05-14 15:45:00,282.85,282.97,281.89,282.36,32559
2019-05-14 16:00:00,282.37,282.95,282.36,282.95,34249
2019-05-14 16:15:00,282.95,283.59,282.87,283.44,35334
2019-05-14 16:30:00,283.44,283.68,283.16,283.47,25694
2019-05-14 16:45:00,283.49,283.64,283.1,283.39,20223
2019-05-14 17:00:00,283.39,283.83,283.07,283.8,16167
2019-05-14 17:15:00,283.79,284.29,283.62,284.02,33661
2019-05-14 17:30:00,284.01,284.59,283.98,284.36,23667
