#BOF|2022.08.06|22:30:03
#SYM|CUR|NAME|CON|ISIN|REBATERATE|FEERATE|AVAILABLE|
A|USD|AGILENT TECHNOLOGIES INC|1715006|XXXXXXXU1016|1.9119|0.4081|>10000000|
AA|USD|ALCOA CORP|251962528|XXXXXXX21065|2.0536|0.2664|4000000|
AAA|USD|AAF FIRST PRIORITY CLO BOND|444250694|XXXXXXXF6566|-0.5996|2.9196|6000|
AAAU|USD|GOLDMAN SACHS PHYSICAL GOLD|458886642|XXXXXXXK1034|-1.3894|3.7094|500000|
AABB|USD|ASIA BROADBAND INC|75216559|XXXXXXXL1008|-0.1329|2.4529|>10000000|
AABVF|USD|ABERDEEN INTERNATIONAL INC.|60152167|CA0030691012|-0.0378|2.3578|1000|
AAC|USD|ARES ACQUISITION CORP-A|477011235|KYG330321061|0.9701|1.3499|200000|
AAC U|USD|ARES ACQUISITION CORP|468799337|KYG330321145|1.1000|1.2200|30000|
AACAY|USD|AAC TECHNOLOGIES H-UNSPON AD|54939868|XXXXXXX41052|-12.2860|14.6060|15000|
AACG|USD|ATA CREATIVITY GLOBAL - ADR|48811132|XXXXXXXV1061|-2.4294|4.7494|100000|
AACI|USD|ARMADA ACQUISITION CORP I|525552650|XXXXXXXV1035|0.4829|1.8371|600000|
AACIU|USD|ARMADA ACQUISITION CORP I|508146551|XXXXXXXV2025|1.1000|1.2200|25000|
AACS|USD|AMERICAN COMMERCE SOLUTIONS|30207299|XXXXXXX91008|2.0200|0.3000|1500000|
AACTF|USD|AURORA SOLAR TECHNOLOGIES IN|195675323|CA05207J1084|-13.1541|15.4741|200000|
AADI|USD|AADI BIOSCIENCE INC|511263210|XXXXXXXQ1040|-2.8477|5.1677|100000|
AADI.OLD1|USD|AMERICAN ASSET DEVELOPMENT I|80584789|XXXXXXX31056|2.0700|0.2500|20000|
AADR|USD|ADVISORSHARES DORSEY WRIGHT|77459165|XXXXXXXY2063|-0.1936|2.5136|40000|
AAGC|USD|ALL AMERICAN GOLD CORP|88362966|XXXXXXXV1026|2.0200|0.3000|2300000|
AAGFF|USD|AFTERMATH SILVER LTD|267518971|CA00831V2057|-54.2192|56.5392|250000|
AAGH|USD|AMERICA GREAT HEALTH|280898497|XXXXXXXT1016|2.0700|0.2500|10000|
AAGH.OLD1|USD|ASIA GLOBAL HOLDINGS CORP|40015795|XXXXXXXD1081|2.0700|0.2500|650000|
AAGIY|USD|AIA GROUP LTD-SP ADR|90162715|XXXXXXX72053|-15.5932|17.9132|95000|
AAIC|USD|ARLINGTON ASSET INVESTMENT-A|69259320|XXXXXXX62051|1.7623|0.5577|1500000|
AAIC PRB|USD|ARLINGTON ASSET INVT CORP PERP PFD|276016743|XXXXXXX66011|-10.9035|13.2235|20000|
AAIC PRC|USD|ARLINGTON ASSET INVEST|356101385|XXXXXXX67001|-77.0078|79.3278|55000|
AAIIQ|USD|ALABAMA AIRCRAFT INDUSTRIES|48014358|XXXXXXXE1001|2.0700|0.2500|1000|
AAIN|USD|ARLINGTON ASSET INVESTMENT CORP|503299518|XXXXXXX68090|-45.2537|47.5737|15000|
AAIR|USD|AVANTAIR INC|44026574|XXXXXXXT1016|2.0700|0.2500|50000|
AAIRF|USD|AMERICAN AIRES INC|452068989|CA02377G1054|0.7663|1.5537|30000|
AAL|USD|AMERICAN AIRLINES GROUP INC|139673266|XXXXXXXR1023|1.9579|0.3621|>10000000|
AAM PRA|USD|APOLLO MANAGEMENT LLC|536207462|XXXXXXXW2035|-7.4938|9.8138|20000|
AAM PRB|USD|APOLLO MANAGEMENT LLC|536207507|XXXXXXXW3025|-38.2040|40.5240|15000|
AAMC|USD|ALTISOURCE ASSET MANAGEMENT|118834665|VI02153X1080|-0.2355|2.5555|65000|
AAME|USD|ATLANTIC AMERICAN CORP|265585|XXXXXXX91008|-0.1125|2.4325|300000|
AAMMF|USD|ALMADEX MINERALS LTD-NEW|319496815|CA02028L1076|-0.6951|3.0151|30000|
AAMTF|USD|ARMADA MERCANTILE LTD|75218554|CA0419041037|2.0700|0.2500|150000|
AAMUQ|USD|AMERICAN AMMUNITION INC-CA|30207305|XXXXXXX62093|2.0700|0.2500|400000|
